Time (s),Event type,Data
0.018,Task Created,10
6.496,Task Assigned,Op1: COMM
8.666,Task Assigned,Op1: SYSMON
10.083,Task Missed,TRACK
14.768,Task Missed,COMM
15.007,Task Created,5
16.225,Task Missed,RESMAN
18.607,Task Assigned,Op5: RESMAN
22.166,Task Missed,COMM
24.325,Task Missed,TRACK
24.685,Task Assigned,Op0: COMM
25.725,Task Missed,COMM
25.759,Task Missed,RESMAN
25.850,Task Missed,COMM
25.993,Task Missed,COMM
29.851,Task Assigned,Op3: COMM
30.010,Task Created,5
31.583,Task Missed,SYSMON
32.398,Task Missed,COMM
32.753,Task Missed,SYSMON
33.708,Task Missed,COMM
35.702,Task Assigned,Op4: COMM
39.537,Task Assigned,Op5: COMM
41.481,Task Assigned,Op5: SYSMON
47.271,Task Assigned,Op4: RESMAN
49.259,Task Missed,TRACK
50.373,Task Assigned,Op0: RESMAN
50.987,Task Assigned,Op0: RESMAN
53.731,Task Assigned,Op0: SYSMON
57.085,Task Assigned,Op1: RESMAN
58.688,Task Assigned,Op2: COMM
60.009,Task Created,20
61.307,Task Assigned,Op3: SYSMON
65.092,Task Assigned,Op5: COMM
65.737,Task Assigned,Op5: TRACK
68.898,Task Assigned,Op0: TRACK
69.736,Task Missed,SYSMON
71.824,Task Assigned,Op0: RESMAN
74.428,Task Assigned,Op1: TRACK
74.759,Task Assigned,Op1: COMM
77.210,Task Assigned,Op2: COMM
77.558,Task Assigned,Op2: SYSMON
78.407,Task Missed,COMM
79.808,Task Assigned,Op3: SYSMON
80.422,Task Assigned,Op3: COMM
88.419,Task Missed,SYSMON
89.243,Task Assigned,Op4: SYSMON
90.008,Task Created,10
90.422,Task Missed,RESMAN
90.536,Task Missed,TRACK
93.082,Task Assigned,Op0: TRACK
94.636,Task Assigned,Op0: TRACK
96.628,Task Assigned,Op1: SYSMON
99.085,Task Assigned,Op2: COMM
100.442,Task Missed,COMM
106.656,Task Missed,SYSMON
107.506,Task Missed,SYSMON
108.233,Task Assigned,Op3: TRACK
108.619,Task Assigned,Op3: TRACK
111.393,Task Assigned,Op5: COMM
112.231,Task Missed,COMM
113.940,Task Assigned,Op5: RESMAN
116.460,Task Assigned,Op0: COMM
117.065,Task Assigned,Op0: SYSMON
120.010,Task Created,10
120.742,Task Assigned,Op2: RESMAN
120.842,Task Missed,SYSMON
120.958,Task Missed,TRACK
121.299,Task Assigned,Op2: SYSMON
121.513,Task Missed,SYSMON
122.891,Task Missed,COMM
123.267,Task Missed,SYSMON
125.667,Task Assigned,Op1: COMM
125.956,Task Assigned,Op1: SYSMON
129.571,Task Assigned,Op3: COMM
130.879,Task Missed,SYSMON
131.757,Task Assigned,Op3: RESMAN
133.508,Task Assigned,Op4: SYSMON
135.706,Task Assigned,Op5: RESMAN
139.468,Task Assigned,Op5: RESMAN
139.989,Task Assigned,Op5: COMM
142.370,Task Assigned,Op0: SYSMON
143.030,Task Assigned,Op0: TRACK
145.827,Task Assigned,Op2: TRACK
146.426,Task Assigned,Op2: TRACK
150.010,Task Created,10
153.267,Task Assigned,Op3: RESMAN
155.813,Task Assigned,Op4: TRACK
164.158,Task Assigned,Op2: COMM
164.733,Task Assigned,Op2: TRACK
171.395,Task Assigned,Op0: COMM
172.106,Task Assigned,Op0: SYSMON
174.186,Task Assigned,Op4: TRACK
175.577,Task Missed,COMM
177.063,Task Assigned,Op4: SYSMON
178.632,Task Missed,COMM
180.004,Task Created,15
180.050,Task Assigned,Op5: TRACK
185.247,Task Missed,RESMAN
185.687,Task Assigned,Op2: SYSMON
186.936,Task Assigned,Op2: COMM
190.465,Task Assigned,Op4: SYSMON
190.482,Task Assigned,Op4: SYSMON
190.986,Task Assigned,Op4: COMM
192.623,Task Missed,TRACK
196.337,Task Assigned,Op5: TRACK
197.088,Task Assigned,Op5: RESMAN
201.585,Task Missed,RESMAN
202.257,Task Assigned,Op2: COMM
208.606,Task Assigned,Op5: COMM
209.888,Task Assigned,Op4: SYSMON
210.001,Task Created,15
210.161,Task Missed,TRACK
210.535,Task Assigned,Op4: TRACK
