Time (s),Event type,Data
0.006,Task Created,10
15.017,Task Created,5
16.968,Task Assigned,Op1: RESMAN
18.196,Task Assigned,Op1: COMM
24.543,Task Assigned,Op5: COMM
25.832,Task Assigned,Op5: TRACK
30.000,Task Created,5
31.650,Task Missed,COMM
33.952,Task Assigned,Op1: RESMAN
35.028,Task Assigned,Op1: TRACK
55.023,Task Assigned,Op3: COMM
60.027,Task Created,20
61.387,Task Assigned,Op0: SYSMON
63.041,Task Missed,SYSMON
63.043,Task Missed,RESMAN
63.113,Task Missed,TRACK
63.233,Task Missed,COMM
64.247,Task Missed,RESMAN
64.858,Task Assigned,Op5: TRACK
66.190,Task Missed,TRACK
66.581,Task Assigned,Op4: COMM
67.395,Task Assigned,Op4: COMM
68.398,Task Assigned,Op4: RESMAN
69.602,Task Assigned,Op5: TRACK
71.594,Task Assigned,Op3: TRACK
74.095,Task Assigned,Op2: SYSMON
77.450,Task Assigned,Op1: COMM
80.762,Task Assigned,Op0: TRACK
83.481,Task Missed,TRACK
86.670,Task Assigned,Op1: RESMAN
90.002,Task Created,10
92.431,Task Assigned,Op4: COMM
94.095,Task Missed,SYSMON
94.386,Task Assigned,Op3: TRACK
97.339,Task Missed,TRACK
99.488,Task Missed,SYSMON
101.030,Task Assigned,Op2: TRACK
102.471,Task Assigned,Op1: TRACK
105.295,Task Assigned,Op0: COMM
109.380,Task Assigned,Op5: SYSMON
114.657,Task Assigned,Op3: COMM
120.017,Task Created,10
120.227,Task Assigned,Op2: TRACK
121.239,Task Missed,RESMAN
126.049,Task Missed,SYSMON
127.801,Task Assigned,Op3: SYSMON
127.824,Task Assigned,Op3: SYSMON
129.538,Task Missed,TRACK
132.049,Task Assigned,Op5: SYSMON
137.033,Task Assigned,Op4: SYSMON
140.183,Task Assigned,Op1: RESMAN
143.786,Task Missed,SYSMON
146.107,Task Assigned,Op0: TRACK
150.007,Task Created,10
150.557,Task Assigned,Op0: SYSMON
151.911,Task Missed,COMM
155.442,Task Assigned,Op2: RESMAN
159.022,Task Assigned,Op4: SYSMON
162.800,Task Assigned,Op5: TRACK
170.371,Task Assigned,Op2: TRACK
173.249,Task Assigned,Op1: COMM
176.430,Task Assigned,Op0: RESMAN
180.005,Task Created,15
180.165,Task Assigned,Op1: RESMAN
186.890,Task Assigned,Op3: TRACK
190.178,Task Assigned,Op5: RESMAN
191.672,Task Assigned,Op5: COMM
193.073,Task Missed,SYSMON
193.278,Task Assigned,Op5: RESMAN
193.317,Task Missed,COMM
194.399,Task Assigned,Op4: TRACK
195.490,Task Assigned,Op4: SYSMON
196.765,Task Assigned,Op3: COMM
198.090,Task Assigned,Op2: SYSMON
199.101,Task Assigned,Op1: COMM
199.122,Task Assigned,Op1: COMM
200.155,Task Missed,TRACK
200.427,Task Assigned,Op0: SYSMON
210.010,Task Created,15
212.603,Task Missed,RESMAN
213.847,Task Missed,TRACK
213.969,Task Missed,RESMAN
214.116,Task Missed,TRACK
214.141,Task Missed,SYSMON
215.237,Task Missed,SYSMON
215.350,Task Missed,TRACK
215.512,Task Missed,RESMAN
218.834,Task Assigned,Op2: RESMAN
221.613,Task Missed,RESMAN
223.478,Task Assigned,Op4: TRACK
224.604,Task Missed,RESMAN
224.863,Task Missed,TRACK
227.262,Task Missed,SYSMON
227.525,Task Missed,TRACK
228.222,Task Missed,SYSMON
228.470,Task Missed,TRACK
228.474,Task Missed,SYSMON
229.209,Task Missed,SYSMON
229.892,Task Missed,TRACK
230.203,Task Missed,SYSMON
230.559,Task Missed,SYSMON
230.892,Task Missed,TRACK
231.640,Task Missed,SYSMON
231.883,Task Missed,SYSMON
231.940,Task Missed,TRACK
232.550,Task Missed,SYSMON
232.896,Task Missed,SYSMON
233.155,Task Assigned,Op3: TRACK
233.492,Task Missed,SYSMON
233.826,Task Missed,SYSMON
234.396,Task Missed,SYSMON
235.299,Task Missed,SYSMON
236.240,Task Assigned,Op0: TRACK
236.688,Task Missed,SYSMON
239.941,Task Assigned,Op2: RESMAN
240.014,Task Created,10
241.057,Task Missed,TRACK
241.459,Task Missed,TRACK
241.757,Task Missed,SYSMON
242.422,Task Missed,TRACK
247.201,Task Assigned,Op3: COMM
247.393,Task Missed,SYSMON
252.462,Task Assigned,Op4: SYSMON
255.193,Task Assigned,Op5: RESMAN
256.607,Task Assigned,Op5: TRACK
263.176,Task Assigned,Op0: TRACK
265.734,Task Missed,SYSMON
267.334,Task Assigned,Op1: SYSMON
270.003,Task Created,15
271.380,Task Missed,SYSMON
274.066,Task Assigned,Op2: SYSMON
274.383,Task Missed,SYSMON
277.466,Task Assigned,Op3: SYSMON
279.844,Task Assigned,Op4: SYSMON
282.351,Task Assigned,Op5: COMM
286.851,Task Assigned,Op0: SYSMON
289.097,Task Assigned,Op0: RESMAN
291.360,Task Missed,TRACK
291.957,Task Assigned,Op1: TRACK
292.336,Task Missed,TRACK
296.769,Task Assigned,Op4: RESMAN
300.008,Task Created,7
300.307,Task Assigned,Op3: COMM
301.319,Task Missed,TRACK
301.655,Task Missed,COMM
